модель,длина,таргет,F1 (RU),F1 (EN),Δ (RU − EN)
BGE-M3,1024,relevance,0.7804039716720581,0.414645791053772,0.36575818061828613
BGE-M3,2048,relevance,0.7955536246299744,0.33379241824150085,0.4617612063884735
BGE-M3,4096,relevance,0.7631601095199585,0.33424803614616394,0.42891207337379456
BGE-M3,512,relevance,0.7938023805618286,0.48005813360214233,0.3137442469596863
BGE-M3,8192,relevance,0.7159188985824585,0.31512969732284546,0.40078920125961304
DeBERTa-v3,128,relevance,0.8836745619773865,0.6398913860321045,0.24378317594528198
DeBERTa-v3,256,relevance,0.81524658203125,0.5448411107063293,0.27040547132492065
DeBERTa-v3,512,relevance,0.7731771469116211,0.47065308690071106,0.30252406001091003
ModernBERT,1024,relevance,0.7769042253494263,0.6299208402633667,0.14698338508605957
ModernBERT,2048,relevance,0.7968176007270813,0.595869243144989,0.20094835758209229
ModernBERT,4096,relevance,0.7656478881835938,0.5634251236915588,0.2022227644920349
ModernBERT,512,relevance,0.7622765302658081,0.5787867307662964,0.18348979949951172
ModernBERT,8192,relevance,0.7310429811477661,0.5306838750839233,0.20035910606384277
BGE-M3,1024,utilization,0.8115596771240234,0.3470885157585144,0.46447116136550903
BGE-M3,2048,utilization,0.8308417797088623,0.2836577892303467,0.5471839904785156
BGE-M3,4096,utilization,0.8078638911247253,0.27201777696609497,0.5358461141586304
BGE-M3,512,utilization,0.8160545825958252,0.4121550917625427,0.40389949083328247
BGE-M3,8192,utilization,0.7836160659790039,0.24477791786193848,0.5388381481170654
DeBERTa-v3,128,utilization,0.7519466280937195,0.5458425879478455,0.20610404014587402
DeBERTa-v3,256,utilization,0.7996323108673096,0.4708153307437897,0.3288169801235199
DeBERTa-v3,512,utilization,0.8468316793441772,0.40141233801841736,0.4454193413257599
ModernBERT,1024,utilization,0.8264422416687012,0.6266962289810181,0.1997460126876831
ModernBERT,2048,utilization,0.8328465819358826,0.5840298533439636,0.24881672859191895
ModernBERT,4096,utilization,0.8144623041152954,0.5519211888313293,0.26254111528396606
ModernBERT,512,utilization,0.8266332745552063,0.5649690628051758,0.2616642117500305
ModernBERT,8192,utilization,0.7973698973655701,0.5286175012588501,0.26875239610671997
BGE-M3,1024,adherence,0.9149709343910217,0.9086905121803284,0.006280422210693359
BGE-M3,2048,adherence,0.935224711894989,0.9231991171836853,0.012025594711303711
BGE-M3,4096,adherence,0.9363666772842407,0.9146782159805298,0.021688461303710938
BGE-M3,512,adherence,0.9317806363105774,0.9147071242332458,0.017073512077331543
BGE-M3,8192,adherence,0.9337596297264099,0.9141407012939453,0.0196189284324646
DeBERTa-v3,128,adherence,0.862533688545227,0.8912943005561829,-0.02876061201095581
DeBERTa-v3,256,adherence,0.8835047483444214,0.9018775224685669,-0.018372774124145508
DeBERTa-v3,512,adherence,0.9017523527145386,0.9002245664596558,0.0015277862548828125
ModernBERT,1024,adherence,0.9208872318267822,0.9166816473007202,0.004205584526062012
ModernBERT,2048,adherence,0.9309396147727966,0.9278095364570618,0.0031300783157348633
ModernBERT,4096,adherence,0.9314749240875244,0.9234638214111328,0.008011102676391602
ModernBERT,512,adherence,0.9205553531646729,0.882080614566803,0.03847473859786987
ModernBERT,8192,adherence,0.9281443953514099,0.9189007878303528,0.009243607521057129
