experiment,lang,head_type,weights,model_short,max_length,relevance_f1,utilization_f1,adherence_f1,test_relevance_f1,test_utilization_f1,test_adherence_f1
RU Complex 3:3:1,RU,Complex,3:3:1,BGE-M3,512,0.5356748700141907,0.44850820302963257,0.8519982695579529,0.5186730027198792,0.4619692265987396,0.9190567135810852
RU Complex 3:3:1,RU,Complex,3:3:1,BGE-M3,1024,0.4361656606197357,0.348881334066391,0.9109633564949036,0.42939189076423645,0.36011701822280884,0.9114048480987549
RU Complex 3:3:1,RU,Complex,3:3:1,BGE-M3,2048,0.3197292983531952,0.26403191685676575,0.9364742040634155,0.3206773102283478,0.2710717022418976,0.9304614067077637
RU Complex 3:3:1,RU,Complex,3:3:1,BGE-M3,4096,0.31144237518310547,0.2536344528198242,0.9343938231468201,0.3226132392883301,0.2613281309604645,0.9280276894569397
RU Complex 3:3:1,RU,Complex,3:3:1,BGE-M3,8192,0.30131810903549194,0.22480323910713196,0.9341122508049011,0.3075825870037079,0.23672868311405182,0.9275368452072144
RU Complex 3:3:1,RU,Complex,3:3:1,DeBERTa-v3,128,0.9518716335296631,0.8821293115615845,0.8614231944084167,0.886904776096344,0.7519466280937195,0.8700000047683716
RU Complex 3:3:1,RU,Complex,3:3:1,DeBERTa-v3,256,0.7891737818717957,0.6771364212036133,0.9281437397003174,0.6841955184936523,0.6016876101493835,0.8835047483444214
RU Complex 3:3:1,RU,Complex,3:3:1,DeBERTa-v3,512,0.621191680431366,0.5303991436958313,0.9030885100364685,0.5649216175079346,0.4869186580181122,0.9125226736068726
RU Complex 3:3:1,RU,Complex,3:3:1,ModernBERT,512,0.6116006374359131,0.5430869460105896,0.8622992038726807,0.5568653345108032,0.49623268842697144,0.9154682755470276
RU Complex 3:3:1,RU,Complex,3:3:1,ModernBERT,1024,0.590069055557251,0.5592206716537476,0.9116829633712769,0.5679638385772705,0.5263082981109619,0.9068675637245178
RU Complex 3:3:1,RU,Complex,3:3:1,ModernBERT,2048,0.5857461094856262,0.55910724401474,0.9397820234298706,0.5667870044708252,0.5340461134910583,0.9312360286712646
RU Complex 3:3:1,RU,Complex,3:3:1,ModernBERT,4096,0.0,0.0,0.0,0.0,0.0,0.0
RU Complex 3:3:1,RU,Complex,3:3:1,ModernBERT,8192,0.3023873269557953,0.22651810944080353,0.9370326995849609,0.3086540699005127,0.23781897127628326,0.9291202425956726
RU Complex 3:3:1,RU,Complex,3:3:1,Tochka-AI/ruRoPEBert-e5-base-2k,256,0.6534098386764526,0.5610178112983704,0.9392592310905457,0.5636598467826843,0.46958082914352417,0.9038529396057129
RU Complex 3:3:1,RU,Complex,3:3:1,Tochka-AI/ruRoPEBert-e5-base-2k,512,0.536011815071106,0.4485064744949341,0.8522346019744873,0.519062340259552,0.46238401532173157,0.9190266728401184
RU Complex 3:3:1,RU,Complex,3:3:1,Tochka-AI/ruRoPEBert-e5-base-2k,1024,0.4365697503089905,0.34943512082099915,0.9110039472579956,0.4292420744895935,0.3600189685821533,0.9115417003631592
RU Complex 3:3:1,RU,Complex,3:3:1,Tochka-AI/ruRoPEBert-e5-base-2k,2048,0.31986600160598755,0.26422369480133057,0.9364621043205261,0.3207884728908539,0.27126073837280273,0.9304795265197754
RU Simple 1:1:1,RU,Simple,1:1:1,BGE-M3,256,0.7363883256912231,0.7315893769264221,0.9391916990280151,0.7212418913841248,0.693176805973053,0.9037401676177979
RU Simple 1:1:1,RU,Simple,1:1:1,BGE-M3,512,0.7889730930328369,0.7802762389183044,0.8991501927375793,0.7938023805618286,0.8160545825958252,0.9317806363105774
RU Simple 1:1:1,RU,Simple,1:1:1,BGE-M3,1024,0.7874881625175476,0.818448543548584,0.9171792268753052,0.7804039716720581,0.8115596771240234,0.9149709343910217
RU Simple 1:1:1,RU,Simple,1:1:1,BGE-M3,2048,0.8008008599281311,0.8329395055770874,0.9435679316520691,0.7955536246299744,0.8308417797088623,0.935224711894989
RU Simple 1:1:1,RU,Simple,1:1:1,BGE-M3,4096,0.7901199460029602,0.8241094946861267,0.9440912008285522,0.7631601095199585,0.8078638911247253,0.9363666772842407
RU Simple 1:1:1,RU,Simple,1:1:1,BGE-M3,8192,0.7233503460884094,0.7930769920349121,0.9408829212188721,0.7159188985824585,0.7836160659790039,0.9337596297264099
RU Simple 1:1:1,RU,Simple,1:1:1,DeBERTa-v3,128,0.9535714387893677,0.8821293115615845,0.9173554182052612,0.8836745619773865,0.7519466280937195,0.862533688545227
RU Simple 1:1:1,RU,Simple,1:1:1,DeBERTa-v3,256,0.9121512770652771,0.8703157901763916,0.9281437397003174,0.81524658203125,0.7996323108673096,0.8835047483444214
RU Simple 1:1:1,RU,Simple,1:1:1,DeBERTa-v3,512,0.7981789708137512,0.8530759811401367,0.9277693629264832,0.7731771469116211,0.8468316793441772,0.9017523527145386
RU Simple 1:1:1,RU,Simple,1:1:1,ModernBERT,256,0.8003001809120178,0.7888455986976624,0.9218721389770508,0.7118529081344604,0.7506895065307617,0.9071568250656128
RU Simple 1:1:1,RU,Simple,1:1:1,ModernBERT,512,0.7763407826423645,0.8023535013198853,0.8914366960525513,0.7622765302658081,0.8266332745552063,0.9205553531646729
RU Simple 1:1:1,RU,Simple,1:1:1,ModernBERT,1024,0.7874983549118042,0.8344264030456543,0.9269900918006897,0.7769042253494263,0.8264422416687012,0.9208872318267822
RU Simple 1:1:1,RU,Simple,1:1:1,ModernBERT,2048,0.8034110069274902,0.8388041257858276,0.9427353739738464,0.7968176007270813,0.8328465819358826,0.9309396147727966
RU Simple 1:1:1,RU,Simple,1:1:1,ModernBERT,4096,0.7909470796585083,0.8289955854415894,0.9439467191696167,0.7656478881835938,0.8144623041152954,0.9314749240875244
